,fic_iServiciosViviendaLuz,fic_iServiciosViviendaAgua,Postulaciones anteriores a la UNMSM,Edad,fic_iServiciosViviendaTelefono,Tipo de preparacion universitaria,Situacion Familiar,Ingreso mensual familiar,Pago mensual de colegio,Tipo de colegio de procedencia,ES INGRESANTE?
0,1,1,2,18,1,1,4,3,0,1,SI
1,1,1,3,21,1,1,3,2,3,0,SI
2,1,1,3,21,1,1,1,2,0,1,SI
3,1,1,3,18,0,0,0,3,3,0,SI
4,1,1,3,19,0,1,4,3,3,0,SI
5,1,1,4,22,1,0,0,3,3,0,SI
6,1,1,1,20,1,1,0,3,3,1,SI
7,1,1,3,23,0,3,4,4,3,0,SI
8,1,1,0,18,0,0,0,0,3,0,SI
9,1,1,2,18,1,2,0,2,3,0,SI
10,1,1,0,18,0,0,0,2,0,1,SI
11,0,0,0,17,0,0,0,3,3,1,NO
12,1,1,4,21,0,0,4,2,3,0,SI
13,1,1,4,20,0,1,0,0,1,1,SI
14,1,1,2,19,0,1,0,0,3,0,SI
15,1,1,4,20,1,0,4,0,0,1,SI
16,1,1,3,20,1,0,0,0,0,1,SI
17,1,1,3,18,1,4,4,0,3,0,SI
18,1,1,2,19,0,0,0,0,0,1,SI
19,1,1,3,19,0,0,0,2,3,0,SI
20,1,1,3,18,1,0,0,1,0,1,SI
21,1,1,0,19,1,0,0,0,3,0,SI
22,1,1,3,20,1,0,0,3,3,0,SI
23,1,1,4,21,1,0,4,3,3,1,SI
24,1,1,4,22,1,1,0,3,3,1,SI
25,1,1,4,18,0,1,0,1,0,1,SI
26,1,1,1,18,1,0,4,0,3,0,SI
27,1,1,1,18,1,1,0,1,0,1,SI
28,1,1,2,19,1,0,1,0,3,0,SI
29,1,1,1,18,0,1,0,3,3,0,SI
30,1,1,2,18,1,4,0,3,0,1,SI
31,1,1,3,20,1,0,0,1,1,1,SI
32,1,1,4,19,1,1,1,1,1,1,SI
33,1,1,1,18,0,0,0,3,3,0,SI
34,1,1,1,18,1,1,4,1,3,0,SI
35,1,1,0,17,1,0,0,3,0,1,SI
36,1,1,4,26,0,0,4,2,3,0,SI
37,1,1,0,16,0,2,0,1,0,1,SI
38,1,1,2,18,0,0,0,0,3,1,SI
39,1,1,2,18,1,0,0,3,3,0,SI
40,1,1,4,21,0,1,0,0,3,0,SI
41,1,1,4,19,1,1,0,0,0,1,SI
42,1,1,1,18,1,0,0,3,0,1,SI
43,1,1,4,22,0,0,0,0,3,0,SI
44,1,1,0,17,1,0,0,1,0,1,NO
45,1,1,2,18,1,4,0,3,3,0,SI
46,1,1,0,18,1,0,0,1,0,1,SI
47,1,1,1,25,1,4,0,3,0,1,SI
48,1,1,4,20,1,1,4,1,0,0,SI
49,1,1,0,17,0,1,1,2,0,1,SI
50,1,1,3,19,1,1,0,1,3,0,SI
51,1,1,4,19,1,1,4,3,0,1,SI
52,1,1,2,19,1,1,4,1,0,1,SI
53,1,1,4,19,1,0,0,1,1,1,SI
54,1,1,3,20,1,2,0,0,3,0,SI
55,1,1,4,21,0,0,0,2,3,0,SI
56,1,1,3,19,1,0,0,1,1,1,SI
57,1,1,2,18,1,1,0,1,3,0,SI
58,1,1,1,19,0,0,0,1,3,0,SI
59,1,1,0,19,0,4,1,4,3,0,SI
60,1,1,2,18,0,0,0,0,3,0,SI
61,1,1,0,22,0,0,2,1,3,0,SI
62,1,1,4,19,0,0,1,3,3,0,SI
63,1,1,0,20,1,2,4,3,0,1,SI
64,1,1,2,19,1,0,1,0,0,1,NO
65,1,1,3,20,1,0,0,3,0,1,SI
66,1,1,0,24,0,4,2,3,3,0,SI
67,1,1,4,19,1,0,1,3,3,0,SI
68,1,1,2,19,0,0,4,3,3,1,SI
69,1,1,4,18,1,1,4,1,0,1,SI
70,1,1,3,17,1,4,0,0,0,1,SI
71,1,1,1,18,1,1,0,3,3,0,SI
72,1,1,4,19,1,1,0,0,1,1,SI
73,1,1,2,21,0,4,0,3,3,0,SI
74,1,1,4,20,1,0,0,0,0,1,SI
75,1,1,1,19,0,0,0,1,3,0,SI
76,1,1,2,20,0,0,1,1,3,0,SI
77,1,1,2,17,1,1,0,3,3,0,SI
78,1,1,0,18,1,0,0,1,0,1,SI
79,1,1,4,22,1,0,4,3,3,0,SI
80,1,1,0,20,0,0,3,4,3,0,SI
81,1,1,3,22,1,1,4,3,0,1,SI
82,1,1,3,20,1,0,0,3,3,0,SI
83,1,1,2,19,1,0,1,3,1,1,SI
84,1,1,1,18,1,0,1,0,0,1,SI
